epoch,acc,loss,val_acc,val_loss
0,0.6862876356943793,0.5730956482722807,0.852631586868512,0.33533385480803096
1,0.7926421508342526,0.469120707698509,0.8547368500577776,0.4262404902985221
2,0.7906354619906499,0.47873289236506095,0.8547368498224961,0.32260839122494583
3,0.780602017523453,0.46923803159325417,0.8600000074819515,0.34696055776194523
4,0.8000000095287693,0.4521081859563605,0.8621052705927899,0.3185259557868305
5,0.8080267659995867,0.42755814316529894,0.8557894818092647,0.31023983605769706
6,0.810033455042536,0.4165841887882571,0.8621052709064986,0.3286021591948443
7,0.7986622175644074,0.41466043495618266,0.8568421133254703,0.3187518133561274
8,0.8180602104667836,0.38072165660053975,0.8631579024227042,0.33551738172006335
9,0.8086956613837277,0.4367498090240737,0.8557894816524104,0.34884040747818196
10,0.8167224172066685,0.37513657190263067,0.867368428644381,0.30334230833441805
11,0.8160535209254677,0.40763408869947226,0.8705263231929979,0.3068047733922293
12,0.8334448247848945,0.34770867976992326,0.8736842180553236,0.37867440573479
13,0.8214046912249116,0.36412177076432806,0.8726315862254093,0.2943072212161496
14,0.8441471655332923,0.3536779394724296,0.8463157980065596,0.3187875281039037
15,0.843478269301928,0.33435858438514876,0.8284210619957824,0.4775016946227927
16,0.8374582025219366,0.33741455805491044,0.8610526392334386,0.2975848972062139
17,0.8541806096516326,0.31676333378054794,0.8831579009953298,0.2914023637416233
18,0.8695652247671299,0.28736763478191646,0.8368421132627286,0.33837475284541907
19,0.8548495060325068,0.31580742310583093,0.8747368492578206,0.3053429390622401
20,0.8648829506990503,0.2712494105700448,0.868421059846878,0.2982078403675635
21,0.8816053575297264,0.2836374220844003,0.8768421122902318,0.3939207709550446
22,0.8695652246674567,0.28610908836245746,0.8757894806171719,0.2854893447230815
23,0.8755852913976114,0.28314161841800617,0.8652631656119698,0.2889688801562251
24,0.8869565277793335,0.25027353468184016,0.88315790154432,0.3273238862273789
25,0.8762541877784856,0.2621712600963067,0.8842105330605255,0.35225852480682174
26,0.8876254241602078,0.23577613629502436,0.8600000076388058,0.31588285210677175
27,0.8789297722554127,0.24989794473925525,0.8757894806171719,0.3361177093859935
28,0.8702341203506176,0.258244657434069,0.8821052699496872,0.3011181221161391
29,0.887625424558901,0.24252701093037773,0.8757894804603175,0.2914459994285655
30,0.8856187352169318,0.25018330345637496,0.8736842175847606,0.29859047295812113
31,0.8749163948173906,0.2713844774242044,0.8863157960929369,0.3616569090820935
32,0.8996655575208441,0.22897586684005464,0.8789473748520801,0.3000169026127735
33,0.9043478314892505,0.20147012759741562,0.8073684309658251,0.3569603125472847
34,0.9050167275711046,0.20583721904866234,0.8663157972850297,0.2984805660818605
